Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win SJU,BS Outcome - Direct Ball Win STJoe,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover SJU,BS Outcome - Direct turnover STJoe,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win SJU,BS Outcome - In Direct Ball Win STJoe,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover SJU,BS Outcome - In Direct turnover STJoe,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS SJU,BS Outcome - New BS STJoe,Ball Start,Build Zone,Circle Entry,Circle Zone,From Zone DUKE,From Zone Duke,From Zone SJU,From Zone STJoe,Goal Type,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type Black,Start Type DUKE,Start Type Duke,Start Type Rutgers,Start Type SJU,Start Type STJoe,To Zone Black,To Zone DUKE,To Zone Duke,To Zone Rutgers,To Zone SJU,To Zone STJoe,Ungrouped,Notes,Flags
270822 SJU v Duke (Control Boat),2967.6956894786686,6.833304029326882,STJoe,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2984.7524692529983,19.959998321665353,STJoe,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3033.328766127,17.766760409668223,STJoe,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3053.6525315863214,16.377928249675733,STJoe,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3738.4339076893352,7.718215595992206,STJoe,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3818.326989354331,7.178436261998286,STJoe,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3832.7294868903277,17.47497915100439,STJoe,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3854.2696572443288,22.169212163992597,STJoe,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3887.7941682553164,3.008234541005095,STJoe,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3927.978945499324,7.261224364006466,STJoe,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3969.345082301331,31.475121258011313,STJoe,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4020.593673200329,48.46051032033483,STJoe,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4097.473016578326,16.68141219534118,STJoe,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4124.743839214992,26.38222523999957,STJoe,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4190.968863861001,33.08874929299327,STJoe,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4266.076446553,12.340695412000969,STJoe,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4316.003692476997,11.257760886001961,STJoe,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4348.876303916991,6.143073233998621,STJoe,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4385.909311782994,17.197940858996844,STJoe,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4428.993635316,23.702803226981814,STJoe,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4479.487708537999,13.331650279990754,STJoe,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4555.390322027997,21.389127402999293,STJoe,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4584.505399682662,12.553633825006727,STJoe,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4640.487996075673,17.01962370299043,STJoe,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4674.214295500661,17.123543055000482,STJoe,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4736.713822681651,12.37275370800944,STJoe,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4763.500643744661,22.708668998989197,STJoe,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4788.5501256556745,13.424163992975082,STJoe,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4804.263949734672,4.490263990995118,STJoe,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4820.26271010166,4.040642329010552,STJoe,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),5016.270010706656,4.189622922005583,STJoe,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),5045.161711774662,10.151293546997294,STJoe,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),5071.749789847655,33.17904729500242,STJoe,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),5111.858367529663,36.77386087300238,STJoe,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),5267.58179026233,6.372827194654747,STJoe,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
